epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,965.941,0.30542,0.31934,0.91034,0.97275,0.95212,0.9745,0.96141,0.21605,0.32339,0.79701,0.000990365,0.000990365,0.000990365
43,987.929,0.29689,0.30366,0.90062,0.94326,0.95458,0.97404,0.96036,0.20882,0.28441,0.7911,0.000973861,0.000973861,0.000973861
44,1010.31,0.29038,0.30268,0.9026,0.98253,0.95521,0.96917,0.9583,0.20321,0.28843,0.79144,0.000957358,0.000957358,0.000957358
45,1033.33,0.28799,0.29679,0.90459,0.98319,0.9432,0.96706,0.9561,0.20324,0.30786,0.79945,0.000940855,0.000940855,0.000940855
46,1057.25,0.28715,0.29749,0.90139,0.96651,0.97033,0.97841,0.97224,0.18718,0.25275,0.78056,0.000924352,0.000924352,0.000924352
47,1079.65,0.28106,0.29371,0.89532,0.98482,0.94722,0.96715,0.95659,0.19811,0.32259,0.78914,0.000907848,0.000907848,0.000907848
48,1102.89,0.28291,0.29296,0.90171,0.97879,0.95212,0.97317,0.96189,0.20563,0.29672,0.79303,0.000891345,0.000891345,0.000891345
49,1125.22,0.2814,0.29114,0.89752,0.98494,0.94232,0.96519,0.9594,0.17896,0.30192,0.77799,0.000874842,0.000874842,0.000874842
50,1147.22,0.28532,0.28752,0.9041,0.97813,0.95871,0.97506,0.96608,0.18147,0.2727,0.78342,0.000858338,0.000858338,0.000858338
51,1169.93,0.28233,0.29135,0.89985,0.98003,0.95935,0.97825,0.97084,0.17827,0.26538,0.78108,0.000841835,0.000841835,0.000841835
52,1192.82,0.27552,0.28752,0.89444,0.9691,0.9633,0.97546,0.968,0.1828,0.26907,0.78178,0.000825332,0.000825332,0.000825332
53,1218.06,0.27923,0.2909,0.89855,0.98546,0.95149,0.97642,0.96753,0.18784,0.25712,0.78423,0.000808828,0.000808828,0.000808828
54,1241.32,0.28493,0.2889,0.90095,0.98012,0.96438,0.9777,0.9724,0.18227,0.25577,0.78585,0.000792325,0.000792325,0.000792325
55,1263.4,0.27801,0.27606,0.89759,0.97486,0.95798,0.97784,0.97009,0.17569,0.26527,0.77617,0.000775822,0.000775822,0.000775822
56,1286.1,0.2793,0.27893,0.89826,0.97382,0.96396,0.97803,0.96916,0.19382,0.25467,0.78425,0.000759318,0.000759318,0.000759318
57,1309.06,0.27648,0.27639,0.89161,0.97292,0.96616,0.97771,0.97009,0.17992,0.26345,0.77863,0.000742815,0.000742815,0.000742815
58,1331.9,0.26932,0.27633,0.89353,0.97394,0.96379,0.97908,0.9727,0.17326,0.24685,0.77916,0.000726312,0.000726312,0.000726312
59,1355.96,0.27344,0.28913,0.8963,0.97222,0.96438,0.97783,0.97115,0.18105,0.25804,0.77948,0.000709809,0.000709809,0.000709809
60,1378.88,0.27664,0.2801,0.89532,0.9905,0.93394,0.95957,0.94902,0.18051,0.35117,0.78485,0.000693305,0.000693305,0.000693305
61,1401.2,0.2671,0.27306,0.89787,0.98652,0.95703,0.97913,0.9697,0.17758,0.26175,0.78005,0.000676802,0.000676802,0.000676802
62,1424,0.26503,0.27064,0.89555,0.97573,0.94967,0.97697,0.97128,0.18006,0.25651,0.77895,0.000660299,0.000660299,0.000660299
63,1447.06,0.26625,0.27603,0.89623,0.97117,0.95883,0.97499,0.96813,0.18609,0.24826,0.78017,0.000643795,0.000643795,0.000643795
64,1469.79,0.26693,0.27158,0.8922,0.95626,0.95424,0.97654,0.96964,0.17666,0.25301,0.7796,0.000627292,0.000627292,0.000627292
65,1492.39,0.25989,0.26068,0.88953,0.96931,0.95503,0.9764,0.96983,0.17179,0.24728,0.77374,0.000610789,0.000610789,0.000610789
66,1515.31,0.26122,0.26568,0.89381,0.97028,0.95212,0.98012,0.97271,0.17682,0.2656,0.77571,0.000594286,0.000594286,0.000594286
67,1537.61,0.25244,0.25911,0.88936,0.9797,0.93742,0.97053,0.96302,0.16415,0.25921,0.77404,0.000577782,0.000577782,0.000577782
68,1560.5,0.2493,0.25738,0.88658,0.97786,0.94373,0.97766,0.96937,0.17612,0.28084,0.77694,0.000561279,0.000561279,0.000561279
69,1583.6,0.25158,0.25635,0.88819,0.9765,0.96193,0.97808,0.97138,0.1633,0.24885,0.77335,0.000544776,0.000544776,0.000544776
70,1606.2,0.2579,0.26673,0.89007,0.98596,0.94232,0.97614,0.97037,0.16408,0.24699,0.77294,0.000528272,0.000528272,0.000528272
71,1628.02,0.26105,0.26141,0.89084,0.96266,0.95927,0.97711,0.97003,0.16793,0.23527,0.7754,0.000511769,0.000511769,0.000511769
72,1651.75,0.25951,0.26859,0.88806,0.96787,0.95054,0.97882,0.97045,0.1699,0.23778,0.77659,0.000495266,0.000495266,0.000495266
73,1674.47,0.25839,0.26397,0.89113,0.96979,0.93392,0.97509,0.9694,0.1561,0.24287,0.76857,0.000478762,0.000478762,0.000478762
74,1697.67,0.24946,0.25568,0.88542,0.97511,0.94272,0.9679,0.96117,0.17313,0.31543,0.77294,0.000462259,0.000462259,0.000462259
75,1720.54,0.24754,0.25681,0.88779,0.99053,0.93007,0.97389,0.96684,0.15952,0.24964,0.76874,0.000445756,0.000445756,0.000445756
76,1742.82,0.24549,0.24747,0.88438,0.97047,0.95212,0.97658,0.97151,0.15861,0.2348,0.77141,0.000429253,0.000429253,0.000429253
77,1765.27,0.2491,0.2429,0.88845,0.97305,0.93392,0.97551,0.96996,0.15433,0.25068,0.76609,0.000412749,0.000412749,0.000412749
78,1788.46,0.24184,0.24226,0.88157,0.97946,0.94232,0.97643,0.971,0.15621,0.25005,0.7681,0.000396246,0.000396246,0.000396246
79,1812.07,0.24827,0.25156,0.88398,0.96576,0.92875,0.97256,0.96883,0.16181,0.25852,0.77098,0.000379743,0.000379743,0.000379743
80,1834.65,0.24595,0.24265,0.88912,0.97398,0.93644,0.97315,0.9678,0.15725,0.24518,0.76788,0.000363239,0.000363239,0.000363239
81,1857.19,0.24371,0.24191,0.88328,0.97103,0.95844,0.97566,0.97035,0.15187,0.23245,0.76661,0.000346736,0.000346736,0.000346736
82,1879.82,0.2403,0.24051,0.89075,0.98415,0.94722,0.97742,0.97088,0.1629,0.23852,0.77008,0.000330233,0.000330233,0.000330233
83,1902.72,0.24563,0.24772,0.88906,0.98729,0.92778,0.9789,0.9734,0.15601,0.24561,0.76631,0.000313729,0.000313729,0.000313729
84,1925.68,0.24697,0.24122,0.88844,0.96039,0.94722,0.97704,0.9717,0.15959,0.25096,0.76734,0.000297226,0.000297226,0.000297226
85,1949.1,0.23568,0.23894,0.88401,0.95709,0.95408,0.97367,0.96827,0.15292,0.23959,0.76622,0.000280723,0.000280723,0.000280723
86,1971.66,0.23882,0.23514,0.88248,0.94196,0.96378,0.97692,0.97112,0.15071,0.24566,0.76301,0.00026422,0.00026422,0.00026422
87,1993.95,0.23336,0.23686,0.8777,0.94993,0.96868,0.97677,0.9734,0.14832,0.23399,0.76284,0.000247716,0.000247716,0.000247716
88,2016.82,0.2341,0.23329,0.88263,0.96256,0.94671,0.97767,0.97404,0.14389,0.24588,0.76146,0.000231213,0.000231213,0.000231213
89,2040.08,0.2327,0.22557,0.88078,0.96204,0.94555,0.97755,0.97323,0.14785,0.23863,0.76286,0.00021471,0.00021471,0.00021471
90,2062.65,0.2359,0.23366,0.88633,0.96521,0.96278,0.97792,0.97332,0.14495,0.23044,0.76313,0.000198206,0.000198206,0.000198206
91,2086.37,0.13799,0.20094,0.8281,0.95884,0.95069,0.97622,0.97133,0.14691,0.2381,0.76235,0.000181703,0.000181703,0.000181703
92,2107.21,0.13343,0.17179,0.83514,0.96125,0.94769,0.97665,0.97131,0.14683,0.24505,0.76215,0.0001652,0.0001652,0.0001652
93,2127.8,0.1325,0.16665,0.83859,0.94884,0.95398,0.97599,0.97223,0.14338,0.23599,0.76006,0.000148696,0.000148696,0.000148696
94,2148.48,0.12992,0.16623,0.83387,0.96285,0.9595,0.97417,0.96927,0.14337,0.22794,0.75927,0.000132193,0.000132193,0.000132193
95,2168.8,0.1265,0.16176,0.82444,0.94721,0.96325,0.97517,0.97013,0.14323,0.23604,0.75843,0.00011569,0.00011569,0.00011569
96,2189.96,0.12644,0.15978,0.83198,0.96613,0.94435,0.97583,0.97066,0.13749,0.22678,0.75917,9.91865e-05,9.91865e-05,9.91865e-05
97,2210.41,0.12121,0.16055,0.82847,0.96909,0.93681,0.97765,0.9727,0.13511,0.2268,0.75728,8.26832e-05,8.26832e-05,8.26832e-05
98,2230.9,0.12023,0.1554,0.82254,0.97388,0.93497,0.97726,0.97284,0.13482,0.22605,0.75731,6.61799e-05,6.61799e-05,6.61799e-05
99,2252.12,0.11955,0.15707,0.82549,0.95832,0.95703,0.97756,0.9729,0.13328,0.22577,0.7565,4.96766e-05,4.96766e-05,4.96766e-05
100,2272.36,0.11632,0.15173,0.82935,0.9533,0.95948,0.977,0.97233,0.13745,0.22194,0.7577,3.31733e-05,3.31733e-05,3.31733e-05
